id,pop,lat,lon,Altitude,woreda,Zone/region,Stage,Sex,popn type
AG158,Deban/Amba den,8.128678456,38.02400398,2353,Ejza,Gurage,parent,unknown,N.forest patch
AG159,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG160,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG161,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG162,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG163,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG164,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG165,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG166,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG167,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG168,Tikurwuha,7.102603316,38.47639293,1693,Hawassa,Sidama,seedling,,Nursery population
AG169,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,male,Natural remanat  patch
AG170,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,female,Natural remanat  patch
AG171,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,female,Natural remanat  patch
AG172,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,female,Natural remanat  patch
AG173,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,female,Natural remanat  patch
AG174,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,female,Natural remanat  patch
AG175,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,male,Natural remanat  patch
AG176,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,male,Natural remanat  patch
AG177,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,male,Natural remanat  patch
AG178,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,parent,male,Natural remanat  patch
AG179,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
AG180,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
AG181,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
AG182,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
AG183,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
AG184,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
AG185,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
AG186,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
AG187,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
AG188,Bera-Tedicho,6.711203862,38.40166218,1807,Dale,Sidama,progeny,,Natural remanat  patch
